"residence_state","total_traditional_medicare_part_a_and_or_part_b_enrollees","total_medicare_part_a_and_or_part_b_persons_with_utilization","total_medicare_part_a_and_or_part_b_program_payments","medicare_spending_per_person"
"Alabama",528983,512627,5653598984,10687.6761332595
"Alaska",105831,90717,1051813241,9938.61194735002
"Arizona",767513,720762,7745898078,10092.2044030525
"Arkansas",430724,409441,4272207750,9918.66659392093
"California",3436742,3009051,43255054191,12586.0638334213
"Colorado",518796,467294,4904130297,9452.90691716975
"Connecticut",363399,326323,4433665245,12200.5433284076
"Delaware",171134,162925,1954121238,11418.6616218869
"District of Columbia",70224,57112,794142024,11308.6982228298
"Florida",2359900,2272148,28720918314,12170.3963362854
"Georgia",953980,900795,10195174819,10686.9901035661
"Hawaii",145637,116113,1088203917,7472.02920274381
"Idaho",215741,201173,1926353213,8929.00845458212
"Illinois",1507029,1395073,17004301474,11283.3273108878
"Indiana",775334,745458,8340501710,10757.3016403253
"Iowa",465570,456550,4587577906,9853.68023283287
"Kansas",414903,390372,4370255665,10533.1985186899
"Kentucky",536961,529922,5434363793,10120.5931026648
"Louisiana",473575,459953,5517151179,11650.0051290714
"Maine",187420,171388,1716550370,9158.84307971401
"Maryland",898929,779476,10696224308,11898.8533109956
"Massachusetts",973092,881664,11347566027,11661.3496226462
"Michigan",1024125,984680,11141909988,10879.4434155987
"Minnesota",509904,532333,5858445932,11489.311580219
"Mississippi",431483,421242,4931158545,11428.3958927698
"Missouri",707230,661529,7409955196,10477.4333611414
"Montana",188073,172143,1626583833,8648.68339953103
"Nebraska",272226,259753,2904540192,10669.5914130171
"Nevada",316990,273357,3525162484,11120.737196757
"New Hampshire",234830,208051,2200212231,9369.38308989482
"New Jersey",1075739,959117,13333090391,12394.3543842884
"New Mexico",252475,229007,2187724333,8665.11271611051
"New York",1996240,1817771,26228103828,13138.7527692061
"North Carolina",1148967,1106895,11611543435,10106.0721804891
"North Dakota",105943,118795,1197587193,11304.0709910046
"Ohio",1227265,1180834,13045771320,10629.9546715665
"Oklahoma",528377,492453,5988040719,11332.8943519495
"Oregon",459062,412891,3952432859,8609.80185465144
"Pennsylvania",1493883,1393506,15821015593,10590.5319178276
"Rhode Island",111983,101231,1090410347,9737.28465034871
"South Carolina",712041,690388,7303580438,10257.2470377408
"South Dakota",136475,151688,1555704395,11399.1895585272
"Tennessee",766844,732420,7583702280,9889.49809870065
"Texas",2347931,2119870,28089834378,11963.6541184558
"Utah",242369,220690,2369071426,9774.64702994195
"Vermont",124384,114169,1145092454,9206.1073289169
"Virginia",1112731,1016486,10542973901,9474.86310797488
"Washington",865220,775317,7559019903,8736.52932548947
"West Virginia",254195,255668,2671150063,10508.2714569523
"Wisconsin",622437,633184,6356566138,10212.3847682577
"Wyoming",110505,102034,1102331666,9975.40080539342
